Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,28/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.565375584,-2.064668661,-3.719668293,-3.992578501,-4.701975803,3.727471164,1.949374454,-4.460431655,-7.766721946,-3.484582602,-9.395973154,-12.25806452,-10.6387524,-10.48026048,-12.49720545,-16.522552,-15.97283085,-17.19197708,-8.794657056,-6.331076151,-0.127843376,1.401100361,1.293091292,-0.827008162,,
Africa Eastern and Southern,AFE,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.392473109,-2.704879673,-3.637117509,-2.168960058,-3.216502942,-3.883106619,-3.262062174,-3.053576675,-3.698217662,-2.278070064,2.745333602,-0.600794437,0.592285579,-1.027107537,-0.398706923,0.646640972,1.508006977,0.919903509,-0.417708332,-4.709191983,-0.126123323,-1.690729868,-3.991921645,-5.449734591,-4.84547887,-6.77179923,-4.543914572,-3.085783986,-2.337045998,-2.330788876,-0.018430149
Afghanistan,AFG,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-2.892560151,-3.643723033,-4.471542186,-7.69230924,-9.166662824,-10.15452435,-9.999999762,-7.436918615,-6.310679782,-4.889590263,-2.160105501,-5.218452943,-3.342618552,-1.794872635,-0.82474229,-1.596243884,-1.652174167,-3.160271166,-3.030303469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-7.253134809,-7.293951062,-4.892497396,-4.329971848,-4.818608519,-4.38764489,-3.665303456,-5.302496935,-4.565804625,-3.40251831,-2.440746605,-3.055666991,-1.646082113,-0.722243384,5.883734419,-5.451513666,-5.966760042,-0.549173946,-5.118162743,1.676126472,4.818393721,-3.673772934,-2.369155419,-0.83963909,1.672091438,0.984575159,-1.460303501,1.944693357,1.481378955,9.328916155,6.372257988,6.437704177,5.07032809,2.420288724,1.229322986,4.765052528,3.05702394,2.301542205,-3.834266312,3.747329814,13.89878159,2.484273671,2.206810992,0.615473591,3.644582867,4.412889664,10.1714879,0.129843716,5.241689865,-1.094447384,3.522193877,5.849160821,10.73667891,1.607035619,2.021304627,-3.402491246,-4.617479493,-1.394285165,-2.152586779,-4.250219919,-7.039606413
Angola,AGO,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.82455292,0.442092772,8.868249209,4.741447947,13.1807667,24.46157341,32.31056768,27.75149885,23.58534904,-4.931536306,18.96259549,21.35738902,20.0801642,14.682238,10.05713499,-3.379321798,2.878813843,5.751378655,15.29446896,14.39907267,7.95289378
Albania,ALB,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,0.420891317,1.520547036,-4.664725796,-2.706517322,-2.035020168,-2.294078833,-0.424944617,-0.099720239,-2.939082468,-2.879379541,-8.626835744,-21.10088261,-83.78628925,-48.56067314,-29.13519604,-22.32893588,-21.65456047,-25.03106926,-25.20317026,-17.32757034,-23.22351049,-23.82416958,-26.63382901,-25.32573377,-22.61204433,-24.84632442,-23.8479007,-26.70632691,-26.84689829,-24.61340871,-20.58451238,-22.73554708,-18.63520062,-18.04107418,-18.98187638,-17.26625352,-16.85409298,-15.0546338,-13.67273948,-13.77369327,-14.83103132
Andorra,AND,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,,,,,,,,,,,16.83773271,19.79085577,21.89956928,36.31376629,27.86270008,21.65519658,15.73179815,8.744420038,2.652099774,11.02638097,18.06788846,8.815772229,-2.94795878,-6.377654254,-6.540373405,-4.762436789,-7.951265012,-3.432853499,-4.863834108,-6.634109135,-1.53633868,-10.91967937,-2.713246805,-2.451212372,1.117781151,1.300874053,4.049094668,6.985449505,0.312083357,6.972535904,15.0426595,9.68774849,10.11796884,11.51755247,13.04907438,16.57314415,18.09444861,14.10118404,16.03710819,5.311482376,12.77240437,18.83231011,18.88771104,15.97269234,10.82337419,0.666761761,0.289472813,3.236681763,8.310532007,5.551662059,
United Arab Emirates,ARE,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.453870726,5.935035953,9.54622894,10.5128471,15.61775114,17.78492577,7.970042135,9.222233377,5.844691366,20.60730434,28.48718883,36.24364316,35.8196235,30.62935278,26.5196529,25.2583798,24.18552638,26.36747205,23.97641379,
Argentina,ARG,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,2.13E-06,1.68E-06,-4.691840132,2.17E-06,1.53E-06,2.075291465,1.66322935,2.49853208,1.08074204,0,0.865689271,-0.600723153,0.359888481,1.903166931,0.613561738,-0.154620697,3.253891969,2.289498257,2.892983504,0.181146292,-1.421727099,-0.450878518,2.569500057,3.315371267,2.833409194,5.462770971,1.837922296,0.297441744,3.319767337,6.479020115,5.728214185,1.597032538,-1.534605642,-2.40444838,-3.074448415,-0.410602571,-0.649274894,-2.21447864,-2.518864051,-1.728395933,-0.649694313,1.305760714,15.01246964,11.21713782,7.002592739,5.940482497,5.619909336,4.380330004,3.719127386,5.064843207,2.896633547,1.692263291,1.949176552,-0.099582225,0.404163534,-1.074921988,-1.039697511,-2.649034418,-1.935279038,2.251764088,2.72721664
