Country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,NULL,10720332,10452666,6859825,6744628,7904133,7774340,8440766,10218514,12105788,8397779
Africa,NULL,1448792916,1425733633,1390056138,1337081656,1312649430,1358705216,1267910575,1249885228,1241973847,1213858987
Albania,NULL,5579015,5402999,5404400,4495728,4532368,5620576,4928080,4667936,5030672,4448096
Algeria,NULL,171707041,164309295,153448361,148839049,150817609,143220807,132434630,128109954,119806879,117814083
Andorra,NULL,470495,464210,465328,468992,465328,461664,476320,487312,490976,516624
Angola,NULL,38020297,37678605,37470836,34110948,33979025,44248826,33228501,33800564,30329702,28864472
Anguilla,NULL,143293,147145,142896,153888,153888,139232,117248,142896,142896,150224
Antarctica,NULL,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,NULL,492341,505574,490976,490976,479984,461664,461664,458000,443344,454336
Argentina,NULL,178939546,185029897,187415944,190929640,192365656,188697406,190151693,191714848,190273774,186733136
Armenia,NULL,6005927,6296603,5484847,5158751,5072367,5559906,5535004,5748252,4968878,4252750
Aruba,NULL,918546,943234,916000,883024,897680,872032,861040,1348352,2498848,2506176
Asia,NULL,20241964122,19917214111,19373877900,18973574643,18870079632,18729131679,18421250484,18238782399,17520494259,16327225071
Asia (excl. China & India),NULL,7450834199,7369321849,7166304281,7028698370,6933450139,6724339296,6591311302,6663570442,6366229985,6148203699
Australia,NULL,411015667,415953947,415097428,411031531,401554757,394116892,397943179,406506242,404172757,405502799
Austria,NULL,68495143,66719678,69628860,67112265,66283237,64084427,67745690,67209096,69898241,72011841
Azerbaijan,NULL,39820063,37488394,36497944,37278351,37198570,36975243,35214656,35048364,32975696,30632888
Bahamas,NULL,1979149,2030010,1971232,1795360,2040848,2363280,2883568,1908944,1802688,2388928
Bahrain,NULL,34354328,31594487,32771356,31397476,32672082,31147858,31186877,27327585,28636686,29074832
Bangladesh,NULL,102161676,85718805,80323841,75857425,72834625,65978676,61781600,60691320,56556344,53991553
Barbados,NULL,1186602,1207134,1170877,1284668,1262477,1262505,1438349,1459494,1515681,1464008
Belarus,NULL,62483877,61871676,60742935,60284851,58633060,63083639,63743445,63008346,62106745,63156392
Belgium,NULL,99708878,100207836,99456275,99806944,100981344,96811323,102674404,102428755,105046058,114561030
Belize,NULL,632797,612205,615552,608224,641200,468992,476320,450672,556928,538608
Benin,NULL,7998145,7759753,7424856,6739957,6076351,5216609,4883199,4638673,4886788,4938944
Bermuda,NULL,631960,648945,630208,619216,538608,670512,534944,366400,443344,608224
Bhutan,NULL,1706825,1662172,1256826,1153059,966213,947987,853248,772251,667464,464158
Bolivia,NULL,22574851,22345503,21810561,20693268,19420970,19618167,18425881,18119308,16038111,14640706
Bonaire Sint Eustatius and Saba,NULL,334351,343337,333424,329760,326096,322432,322432,311440,261511,204990
Bosnia and Herzegovina,NULL,26621092,22086102,21791510,21732885,18460682,19310982,21801049,22136251,23761289,21145704
Botswana,NULL,6316388,6815418,7058898,6333426,5424754,6850050,5662940,5076599,4028695,4536329
Brazil,NULL,465715770,466649304,484588129,478442801,495213709,523894030,495046768,460098000,429959368,411240192
British Virgin Islands,NULL,169012,173555,168544,212512,212512,212512,201520,201520,201520,197856
Brunei,NULL,9088688,9560399,9552048,7544132,6954272,8925504,7628448,9493476,9544720,8060800
Bulgaria,NULL,42006473,43551599,47505164,45353723,48194280,45169330,42649508,48349009,53178044,47862930
Burkina Faso,NULL,4301291,4140342,3938364,3381436,3297574,2912027,2864172,2619958,2130246,2036837
Burundi,NULL,579786,568028,549183,442927,391645,376557,399139,379873,354812,296784
Cambodia,NULL,16026972,15479031,11185974,9724038,8446276,6516419,5475787,5333522,5105272,5030512
Cameroon,NULL,7592750,7566796,7530489,8259621,7743900,6850332,5069213,6158221,6521189,6662027
Canada,NULL,576650511,586504635,572834389,564032530,575906939,575942179,576327006,569737013,566740991,555549849
Cape Verde,NULL,633890,609509,578912,538608,490976,487312,494640,501968,615552,556928
Central African Republic,NULL,307653,300478,296784,296784,293120,289456,285792,293120,278464,263808
Chad,NULL,1030268,1008035,996589,992925,696141,989261,654926,614006,1117520,996608
Chile,NULL,84266622,85829114,84062128,84153728,81633171,77422779,81691568,79703781,78083804,71329755
China,NULL,10174681103,9956568523,9750725978,9552516545,9683200711,9820360215,9796526887,9633899303,9388199234,8500542695
Christmas Island,NULL,0,0,0,0,0,0,0,0,0,0
Colombia,NULL,102202444,92228209,91669828,100800516,86071133,90952312,89988822,79727172,76079775,76278424
Comoros,NULL,253114,245927,238160,201520,168544,153888,175872,142896,135568,161216
Congo,NULL,3456980,3518309,3525897,3701769,3451013,3103371,3208041,2943449,2241177,1962116
Cook Islands,NULL,77460,72706,69616,62288,62288,65952,62288,62288,58624,51296
Costa Rica,NULL,8507521,8249118,8235193,7923749,7407129,7748551,7632744,7258914,7309366,7493718
Cote d'Ivoire,NULL,12946455,12514065,11860368,11798080,9405488,9738912,9526400,8339264,6342384,6063920
Croatia,NULL,17882170,17718646,18737689,18105044,17840751,17704985,18454622,19114779,20682439,21050860
Cuba,NULL,25988450,26084446,25131187,27999946,29052810,27426002,27748300,29522196,29169322,33914608
Curacao,NULL,5195804,5269411,5092960,5389744,6250784,5756144,5100288,5917360,4968704,3894813
Cyprus,NULL,7315731,7332762,7515688,7368228,6960129,6934592,6554364,7234892,7759468,8089011
Czechia,NULL,101009765,104411211,105641726,106629020,104815377,104049880,106427459,110955165,115060259,117500712
Democratic Republic of Congo,NULL,2282718,2231343,2204894,1996011,2791929,4631264,3538129,2355831,2438701,1963303
Denmark,NULL,32075494,34651430,34722160,36988696,35181488,37527338,41729536,39823599,44197135,49152290
Djibouti,NULL,399373,389975,379818,398138,445770,373304,555542,479984,472656,516624
Dominica,NULL,161664,166009,161216,179536,175872,175872,168544,164880,153888,172208
Dominican Republic,NULL,27378802,25305221,24255049,24629076,23487946,21645666,21049677,21493744,21319267,20574429
Ecuador,NULL,40540282,41817989,39237605,39505077,40639846,43207759,39361859,37152750,37397988,34825406
Egypt,NULL,246642918,251460913,250240141,233515638,219304044,221942269,206867596,210354927,211037468,198807706
El Salvador,NULL,6207296,6018265,6015567,6638447,6715391,6147471,6093602,6469105,6500474,6317045
Equatorial Guinea,NULL,5633778,5905780,5979648,6206816,6433984,7306016,7720048,7536848,8881536,6866336
Eritrea,NULL,727233,708769,688813,659501,652173,671706,638320,618429,560170,496996
Estonia,NULL,13888373,17710953,18635872,17377650,15813404,18755949,19551953,17684975,18855125,18784961
Eswatini,NULL,973848,987951,985616,1179808,978288,901344,1546208,1190800,1025920,1014928
Ethiopia,NULL,16255141,16184949,15593586,14432098,12693441,12017394,9780800,8109942,7402011,6337110
EU-27,NULL,2916906140,3054490622,3127498982,3103515547,3098969473,3044689034,3179991838,3260934400,3336517463,3442037595
EU-28,NULL,3286784536,3434629181,3515587356,3502625160,3521460084,3483746541,3657892803,3748730245,3806321253,3954061297
Europe,NULL,5448708693,5601972522,5628105283,5597849160,5604855312,5599166322,5825213361,5981732158,6035187037,6115875551
Europe (excl. EU-27),NULL,2540064891,2555341187,2507829085,2501554364,2513158544,2561659922,2652603512,2728312969,2706474974,2682386835
Europe (excl. EU-28),NULL,2170186495,2175202628,2119740711,2102444751,2090667933,2122602415,2174702547,2240517124,2236671184,2170363133
Faeroe Islands,NULL,715004,705453,707152,630208,608224,597232,677840,589904,567920,630208
