country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Argentina,NULL,57.2,57.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Australia,NULL,78.7,78.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Austria,NULL,76.6,76.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bangladesh,NULL,52.1,52.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belgium,NULL,76.4,76.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brazil,NULL,60.9,59.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brunei,NULL,62.8,61.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Canada,NULL,79.6,79.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
China,NULL,73.9,72.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Colombia,NULL,62.7,61.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Czech Republic,NULL,70.9,71.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Denmark,NULL,81.2,80.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Finland,NULL,80.2,80.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
France,NULL,78.8,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Germany,NULL,81.8,82.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Greece,NULL,62.6,62.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hong Kong,NULL,83.1,82.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hungary,NULL,65.1,64.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
India,NULL,61.4,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Indonesia,NULL,64.6,64.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Iran,NULL,53,54.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ireland,NULL,75.1,75.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Israel,NULL,76.7,76.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Italy,NULL,71.5,70.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Japan,NULL,82.3,82.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jordan,NULL,60.9,59.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Malaysia,NULL,74.6,74.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mexico,NULL,64.9,64.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
