Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,39.47631387,39.45058277,43.79212846,43.37050064,44.48401683,44.22231024,43.29177802,40.91200478,42.44903762,43.06822076,45.41372316,43.23093305,41.8767132,44.62327446,44.79970061,46.01885365,51.3276259,55.63532338,52.39729255,54.74010067,54.88868664,52.96466567,52.46267806,57.12123854,60.35262912,58.19489483,60.55142164,59.16367303,60.24055072,56.62691379,57.2219424,57.24649306,57.25839458,,
Africa Eastern and Southern,AFE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,41.59344178,40.58898044,43.60472558,41.85003439,41.9585554,44.21811763,44.43853345,42.90188962,44.20264287,42.52146832,42.63648052,39.88814453,37.81273478,37.86937482,36.12542616,37.63094061,38.73032413,38.28732788,43.13725201,44.85447777,41.90911033,41.58332227,44.85549881,45.43260017,47.77699859,51.43254255,,70.1634706,73.5967019,79.88135396,83.41374761,83.25700225,80.25642272,78.54539194,88.20447379,79.819975,85.13534507,68.46842108,77.92839284,88.11978284,95.14725106,105.1013988,104.0493813,85.82268852,93.10575632,92.70231633,82.12930914,84.16649934,79.87727297,77.49229917,67.50742646,66.38209017,69.21669577,66.46879641,65.27651364,
Afghanistan,AFG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,9.272726698,8.753036331,7.154471399,5.068046797,5.186110823,4.971302571,3.801587392,3.252323873,4.026537119,4.871608718,4.553119058,3.833135548,5.545543454,5.487692526,5.376082618,4.710234844,5.428782585,4.133634193,4.559191769,6.057859065,5.979514377,5.837979043,,,,,,,,,,,,,,,,,,,,,,,,,4.842856866,6.839982237,9.388327721,10.58413068,11.57504424,4.959180376,4.47210363,4.321685417,3.9410571,3.981493795,3.888321746,3.841881205,3.512317033,3.22995723,3.126284224
Africa Western and Central,AFW,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,5.709657883,6.073134919,7.681363145,8.645353057,8.755517388,8.780638165,8.907629283,9.481352572,9.917208589,9.712510666,8.03522915,9.640625991,9.953855254,10.42087931,9.461103046,12.00245494,12.17807485,14.64172358,16.94059684,16.52729872,17.20462082,9.471381644,10.17542088,11.11340167,11.16357436,11.09704623,14.52664863,15.14350761,14.06479681,13.59711635,13.13384351,12.79761991,12.21475951,11.44346848,8.928175475,8.31681409,8.03081944,8.524590691,9.018523503,9.460190709,9.158644005,9.818419481,8.800561011,9.466331244,9.145402943,9.101658325,8.843133946,12.76859656,15.88349384,16.89202449,13.38148669,12.15923704,11.85467105,12.78708712,14.34055898,14.56331089,15.91448557,14.95530935,13.43356392,13.79368224,14.48945568
Angola,AGO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.24010858,21.09840936,17.00068497,14.9410025,14.28910123,12.07267048
Albania,ALB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21339637,39.08284518,41.15368446,40.80458372,39.7865544,39.2616889,37.15075365,36.5989977,34.75782654,33.00629584,34.38415972,38.87713886
Andorra,AND,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,12.46223745,15.20862655,14.72771851,14.41981826,14.94267641,16.18671965,14.86365075,14.45535394,16.3806112,16.65209043,11.45316478,14.73272372,15.27189271,16.81899275,19.66647109,19.52512701,17.90852283,20.05595649,25.68135651,29.87689109,32.0292879,34.7741238,39.50241808,38.08008059,,,,23.56874499,21.30074253,22.53150912,24.90560906,26.71733479,26.41882348,28.31237037,34.57508362,34.72629854,32.02816057,34.77374702,35.56022323,34.19641061,32.82100249,32.65308302,31.93598091,33.78355519,33.71606687,39.50746786,38.68077598,36.40146611,35.27437561,37.38478206,40.85100416,49.99207893,58.73170976,56.95504146,,,
United Arab Emirates,ARE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.60196393,81.74813838,77.19887622,77.57391103,
Argentina,ARG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,13.61124436,14.08812177,12.01111434,11.5200602,10.6266941,10.10666974,11.0604754,10.94357073,13.86592329,15.97850118,17.5387441,18.02169837,17.63452604,16.70557572,19.17380828,16.44134984,13.5627673,18.38290986,20.55711741,24.05622763,25.39579275,33.55230678,33.90637227,28.11827564,25.00099884,17.36414138,16.90722949,21.29731488,20.33583548,39.71749502,15.60169481,12.58720349,15.44533545,18.28460493,20.280578,19.96060756,20.18700183,21.93345876,24.15329877,24.89334375,23.89473362,20.83357465,15.3318584,10.76270592,9.682518196,10.65349292,11.91026166,13.09854135,12.31394671,12.41620754,12.69010625,14.00871512,15.21281502,15.72909201,13.82376925,14.41423304,13.66763343,15.95849734,,,
