Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.91104859,86.63511637,82.52558184,79.65026354,79.93358865,74.40032444,70.49752691,64.92086331,63.10116086,65.07896716,68.55225312,65.85253456,66.16107669,67.7045177,63.78269618,61.0422996,67.81332165,65.24134891,76.54831163,78.27550385,72.85295945,71.82038849,72.54866459,73.79939714,,
Africa Eastern and Southern,AFE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,24.72948456,25.74993532,27.17938175,27.98137881,30.07802083,31.41550206,26.19640239,24.47804168,23.40775867,23.94473868,27.5969989,27.34738321,26.83736272,25.83146667,24.43733208,21.94750123,20.15318317,20.0296871,21.90989311,22.37560383,23.07850264,23.55025275,22.73027915,22.93135611,22.79490479,32.73470438,32.13207698,31.62520432,28.94450269,29.45015037,31.23734602,32.2507038,34.77225726,38.05771771,30.58014042,32.47532653,32.45022959,30.19193172,29.75848796,29.39379415,26.11328657,25.52515733,25.47023578,27.1598174,26.76478413,25.11876125
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,4.132233215,4.453443266,4.87805112,9.171601094,8.888892562,11.25827913,8.571428776,6.772908423,8.899676645,10.09463699,9.784002283,10.92234226,14.76323124,12.94871808,14.02061893,12.67605689,13.21739125,11.66290433,10.84175028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,13.96084776,13.87291445,13.30064239,13.96834335,14.45332625,15.90538031,15.16492258,15.83304226,15.88316681,16.85515881,15.54774589,16.61880232,17.04847492,19.70910421,26.7774008,21.08059908,21.11305102,25.15920764,21.68862842,24.74567884,28.01736121,15.50114746,14.56223848,14.34499617,16.03317702,16.50536029,13.40338567,17.61433743,15.99376007,24.6887433,22.41996369,23.69775497,23.43404412,20.99644796,20.3374557,26.55139238,26.43162339,30.0784912,23.45083718,25.10678638,35.49409244,30.25457897,27.6044606,29.10590466,26.59038053,28.06766649,32.41478413,27.27870574,29.87338365,24.96214481,29.88421035,34.58722649,34.45792383,24.88457285,24.70926081,19.01134514,17.64013198,21.09344801,22.71694262,22.02683856,15.71760079
Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.68583119,75.38894373,57.0849959,54.32133738,58.38034553,65.52626777,63.4678635,67.90578337,72.47502847,58.75730302,61.54311272,60.66994844,55.94013141,50.74708439,44.69503125,29.75459949,28.12448456,29.00410005,40.83628989,39.3438257,35.28452598
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.95749191,23.81050666,20.07291791,18.85207514,18.04033143,16.82037257,15.60618013,16.02992184,16.97939413,18.59335346,15.40506383,7.484818725,12.49959149,15.97882981,11.98369435,12.6408295,11.62043938,10.19726175,11.46711247,16.84176536,20.11536376,21.33343755,20.94565114,20.84745139,22.21755127,23.01299011,25.20959682,28.24786726,25.30240214,25.24071574,27.97944855,29.24150074,28.93748669,28.91635374,28.21297884,27.2673933,28.97786422,31.56982064,31.59157414,31.54021628,23.24992131
Andorra,AND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,37.10739272,38.67657176,41.10681039,57.21917638,49.88043735,50.70079731,44.99291848,43.5775159,39.68763495,44.95082795,50.50453163,47.07204356,39.41314892,34.0300562,32.24831831,29.54067644,24.2488135,27.65665526,27.94605973,29.69348648,32.31721665,28.94634675,30.55242613,28.71937197,29.6679737,31.39458529,32.50092882,37.31151532,32.85118319,36.1136766,42.6238376,40.87115542,41.67458925,45.68983115,48.9930292,52.78060865,53.91291904,53.94512063,57.1876235,47.64640646,50.6678661,54.92102897,56.10400695,54.24415053,50.61016138,43.58998321,40.20896078,43.92468477,46.93731044,45.25926607,
United Arab Emirates,ARE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.15922533,49.50334738,55.92319922,63.56772981,67.58531139,68.62779767,72.3840975,78.8678887,79.65331786,82.24241809,90.0765712,100.2464956,100.5477884,99.56083028,100.8704802,101.0030139,99.59493841,93.0481228,92.45625334,
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,7.604049108,5.994946995,4.691842759,7.890454203,5.563715605,6.225874438,6.652917384,7.495596226,6.484453463,6.398713317,5.601566676,6.007232881,7.197765839,7.612667721,6.902570798,5.824051799,9.175388297,9.615892413,8.608389938,6.510915467,5.061972681,6.92104948,9.090493079,9.151520687,7.589895312,11.73609802,8.161977544,7.873205813,9.531612973,13.05840891,10.35953659,7.675043348,6.598187472,6.909351534,7.529948726,9.68041026,10.42859676,10.5608501,10.41558196,9.827174515,10.98637523,11.57900808,28.382597,25.93094293,23.84761942,23.24587673,23.0266946,22.66275031,22.06090038,19.56098506,18.93382341,18.44920915,16.23785946,14.61717339,14.40547859,10.70565205,12.52709517,11.32028336,14.61983125,17.43970391,16.61372205
