Countries,Year,GDP_Growth,Market_Size,Life_Exp,Mean_Years_of_Schooling,Internet_Penetration,Gov_Indicator,Trade_Openness,Labour_Force,Domestic_credit_to_private_sector,inflation,rnd_exp,GNI,BoT,Gini,LPI,Child_Mortality,HDI,EPI,GCI,Pol_Stability,CPI,Urban_pop,Renew_Energy,CO2_emissions,ind_val_add,unemployment_rate
Australia,2019,2.160956,52203.13,82.9,12.7,,,,,135.8407547,1.610767873,NULL,50540,2.51,0.3439943,,3.6,,,,,,0.86124,54.39985,,25.38245,0.0516
Australia,2018,2.949286,50252.84,82.74878,12.7,,,,,139.5259087,1.911400944,NULL,48660,0.38,0.3439943,,3.7,,,,,,0.86012,44.443,,24.15897,0.053
Australia,2017,2.300611,48482.65,82.5,12.7,,,,,140.2926654,1.948647409,1.87372,47160,0.59,0.3439943,,3.7,,,,,,0.85904,40.206,,23.46106,0.0559
Australia,2016,2.770652,47339.97,82.44878,12.6,,,,,142.4231683,1.276990945,NULL,46220,-2.28,0.3439943,,3.8,,,,,,0.858,37.152,,22.28487,0.0571
Australia,2015,2.192647,46288.33,82.4,12.5,,,,,136.31738,1.508366722,1.91943,45340,-1.52,0.3439943,,3.9,,,,,,0.85701,33.423,,23.64421,0.0605
Australia,2014,2.533115,46880.22,82.3,12.3,,,,,128.5068158,2.487922705,NULL,45650,,0.3439943,,4,,,,,,0.85602,36.112,,25.51482,0.0608
Australia,2013,2.584898,45902.05,82.14878,12.2,,,,,124.782324,2.449888641,2.1787,44760,,NULL,,4.1,,,,,,0.85502,32.705,,25.12799,0.0566
Australia,2012,3.918163,42826.79,82.04634,12.8,,,,,121.2837239,1.762780156,NULL,41520,,NULL,,4.3,,,,,,0.85402,26.318,,26.28416,0.0522
Australia,2011,2.462756,41965.36,81.89512,12.7,,,,,122.3348414,3.303850156,2.23765,40280,,NULL,,4.5,,,,,,0.853,26.273,,26.43613,0.0508
Australia,2010,2.067417,39301.34,81.69512,12.6,,,,,125.4956583,2.918340027,NULL,37770,,0.3465673,,4.8,,,,,,0.85182,21.72,,25.15142,0.0521
Bangladesh,2019,8.152685,4954.761,72.591,6.2,,,,,45.31297481,5.591996399,NULL,5190,-6.11,0.3238527,,30.8,,,,,,0.37405,1.248942,,29.64868,0.0422
Bangladesh,2018,7.863743,4547.48,72.32,6.1,,,,,46.93898318,5.543621395,NULL,4750,-8.64,0.3238527,,32.3,,,,,,0.36632,1.375017,,28.53699,0.0429
Bangladesh,2017,7.284174,4160.703,72.052,6.1,,,,,47.58329625,5.702070157,NULL,4340,-5.23,0.3238527,,33.9,,,,,,0.35858,1.307877,,27.7509,0.0437
Bangladesh,2016,7.113478,3848.958,71.785,5.9,,,,,45.27950522,5.513525727,NULL,4070,-4.65,0.3238527,,35.7,,,,,,0.35083,1.251877,,27.34612,0.0435
Bangladesh,2015,6.55264,3555.505,71.514,5.8,,,,,44.40697181,6.19428023,NULL,3790,-7.41,NULL,,37.5,,,,,,0.34308,0.812682,,26.83139,0.0438
Bangladesh,2014,6.061059,3368.056,71.231,5.2,,,,,43.73612387,6.991638892,NULL,3590,,NULL,,39.5,,,,,,0.33535,0.795751,,26.31105,0.0439
Bangladesh,2013,6.013606,3143.586,70.93,5.5,,,,,41.79475481,7.530406409,NULL,3400,,NULL,,41.6,,,,,,0.32762,1.080454,,26.30707,0.0443
Bangladesh,2012,6.521459,2937.629,70.606,5.8,,,,,43.00066937,6.217504221,NULL,3190,,NULL,,43.8,,,,,,0.31993,0.817169,,25.30996,0.0406
Bangladesh,2011,6.464379,2620.834,70.256,5.7,,,,,42.47024116,11.39516516,NULL,2830,,NULL,,46.1,,,,,,0.31225,0.979676,,25.0453,0.0371
Bangladesh,2010,5.571788,2439.07,69.881,5.3,,,,,40.96132263,8.126676392,NULL,2640,,0.3213032,,48.7,,,,,,0.30462,0.836591,,24.95648,0.0338
Brunei,2019,3.86911,64724.13,75.86,9.1,,,,,NULL,NULL,NULL,,7.38,NULL,,11.4,,,,,,0.77942,0.002,,62.51532,0.0692
Brunei,2018,0.052238,61839.12,75.722,9.1,,,,,NULL,NULL,NULL,,9.97,NULL,,11.2,,,,,,0.77629,0.002,,63.24365,0.087
Brunei,2017,1.328603,60994.53,75.585,9.1,,,,,NULL,NULL,NULL,,13.97,NULL,,11,,,,,,0.77312,0.002,,59.72051,0.0932
Brunei,2016,-2.47792,56297.23,75.45,9.1,,,,,NULL,NULL,NULL,,11.84,NULL,,10.8,,,,,,0.7699,0.001,,57.28836,0.0847
Brunei,2015,-0.39238,62540.63,75.318,9,,,,,NULL,NULL,NULL,,14.53,NULL,,10.6,,,,,,0.76663,0.002,,61.36236,0.0769
Brunei,2014,-2.50835,81371.23,75.193,9,,,,,NULL,NULL,NULL,,,NULL,,10.4,,,,,,0.76332,0.002,,67.85207,0.0697
Brunei,2013,-2.12603,83788.51,75.075,8.9,,,,,NULL,NULL,NULL,,,NULL,,10.2,,,,,,0.75997,0.002,,70.02518,0.068
Brunei,2012,0.912842,88245.96,74.962,8.9,,,,,NULL,NULL,NULL,,,NULL,,10,,,,,,0.75656,0.002,,72.65683,0.0671
Brunei,2011,3.745318,83935.23,74.852,8.8,,,,,NULL,NULL,NULL,,,NULL,,9.8,,,,,,0.7531,0,,73.67292,0.0664
Brunei,2010,2.598966,80280.02,74.74,8.8,,,,,NULL,NULL,NULL,,,NULL,,9.7,,,,,,0.74961,0,,68.65704,0.0651
China,2019,5.949714,16772.84,76.912,8.1,,,,,165.39037,2.899234164,NULL,16730,1.16,0.3612483,,7.9,,,,,,0.60308,2043.258,,38.5874,0.046
China,2018,6.749774,15608.97,76.704,7.9,,,,,157.8120786,2.0747904,2.18568,15520,0.77,0.3612483,,8.5,,,,,,0.59152,1870.5,,39.68701,0.043
China,2017,6.947201,14344.42,76.47,7.8,,,,,154.8950517,1.593136001,2.14512,14330,1.75,0.3612483,,9.2,,,,,,0.5796,1694.2,,39.8517,0.044
China,2016,6.848762,13572.62,76.21,7.8,,,,,156.2299435,2.000001822,2.11831,13520,2.27,0.3612483,,9.9,,,,,,0.56736,1547.7,,39.58062,0.045
China,2015,7.041329,12978.77,75.928,7.7,,,,,152.5944998,1.437023809,2.0656,12930,3.24,0.3615622,,10.7,,,,,,0.555,1391.8,,40.84134,0.046
China,2014,7.425764,12549.77,75.629,7.6,,,,,140.236887,1.921641628,2.02963,12570,,0.3642967,,11.6,,,,,,0.54259,1290,,43.08557,0.046
China,2013,7.76615,11923.75,75.321,7.5,,,,,134.3192514,2.621050017,1.99786,11830,,0.3668623,,12.5,,,,,,0.53013,1077.38,,44.1767,0.046
China,2012,7.863736,11197.6,75.013,7.5,,,,,128.922639,2.619524326,1.91214,11170,,0.3535335,,13.5,,,,,,0.51765,994.28,,45.42298,0.046
China,2011,9.550832,10299.87,74.708,7.4,,,,,123.0959272,5.553898923,1.78034,10200,,0.3555923,,14.6,,,,,,0.50511,766.2,,46.52929,0.045
China,2010,10.63587,9253.765,74.409,7.3,,,,,126.5794942,3.175324753,NULL,9210,,0.3574452,,15.8,,,,,,0.49226,752.445,,46.49783,0.045
Hong Kong,2019,-1.67976,62106.1,85.07805,12.3,,,,,NULL,NULL,NULL,,,NULL,,NULL,,,,,,1,0.099667,,6.25573,0.0296
Hong Kong,2018,2.846448,62529.06,84.93415,12.3,,,,,NULL,NULL,NULL,,,NULL,,NULL,,,,,,1,0.093,,6.479587,0.0304
Hong Kong,2017,3.791006,59849.25,84.68049,12.2,,,,,NULL,NULL,NULL,,,NULL,,NULL,,,,,,1,0.091,,7.219379,0.0309
Hong Kong,2016,2.169494,57221.41,84.22683,12.1,,,,,NULL,NULL,NULL,,,NULL,,NULL,,,,,,1,0.092,,7.476195,0.0339
Hong Kong,2015,2.387802,56408.94,84.27805,11.9,,,,,NULL,NULL,NULL,,,NULL,,NULL,,,,,,1,0.073,,7.058017,0.0332
Hong Kong,2014,2.762377,54781.65,83.98049,11.9,,,,,NULL,NULL,NULL,,,NULL,,NULL,,,,,,1,0.045,,7.067506,0.033
Hong Kong,2013,3.101547,53691.84,83.83171,11.6,,,,,NULL,NULL,NULL,,,NULL,,NULL,,,,,,1,0.038,,6.947699,0.034
Hong Kong,2012,1.700325,52234.59,83.48049,11.6,,,,,NULL,NULL,NULL,,,NULL,,NULL,,,,,,1,0.042,,6.844524,0.0329
Hong Kong,2011,4.814682,52277.47,83.42195,11.4,,,,,NULL,NULL,NULL,,,NULL,,NULL,,,,,,1,0.045,,6.717173,0.0342
Hong Kong,2010,6.767669,49185.23,82.97805,11.5,,,,,NULL,NULL,NULL,,,NULL,,NULL,,,,,,1,0.04,,6.835828,0.0431
India,2019,4.041554,6997.864,69.656,6.5,,,,,50.12555378,3.723276483,NULL,6930,-2.53,NULL,,34.3,,,,,,0.34472,286.3848,,24.17759,0.0527
India,2018,6.532989,6675.361,69.416,6.5,,,,,50.37204197,3.945068664,0.64998,6600,-3.72,NULL,,36.3,,,,,,0.3403,254.5348,,26.3829,0.0533
India,2017,6.795383,6182.922,69.165,6.5,,,,,48.7940214,3.328173375,0.66584,6120,-3.16,0.3901443,,38.5,,,,,,0.336,223.8571,,26.50002,0.0541
India,2016,8.256306,5839.865,68.897,6.4,,,,,49.10122542,4.948216341,0.67111,5720,-1.77,0.3901443,,40.9,,,,,,0.33182,199.4828,,26.619,0.0551
India,2015,7.996254,5464.859,68.607,6.2,,,,,51.86752408,4.906973441,0.6931,5400,-2.3,0.3901443,,43.5,,,,,,0.32777,188.5866,,27.34739,0.0556
India,2014,7.410228,5233.882,68.286,6,,,,,51.88218736,6.649500151,0.70159,5170,,0.3901443,,46.2,,,,,,0.32384,199.0632,,27.6564,0.056
India,2013,6.386106,5057.233,67.931,5.8,,,,,52.38570952,11.06367478,0.70642,4990,,0.3901443,,49.1,,,,,,0.32003,192.2751,,28.4049,0.0567
India,2012,5.456389,4861.156,67.545,5.5,,,,,51.88850765,9.312445605,0.74399,4800,,0.3901443,,52,,,,,,0.31634,168.5979,,29.39853,0.0566
India,2011,5.241315,4493.669,67.13,5.3,,,,,51.28923313,8.858360966,0.75502,4450,,NULL,,55.1,,,,,,0.31276,174.6208,,30.16168,0.0565
India,2010,8.497585,4236.744,66.693,5.4,,,,,50.55537498,11.98938992,NULL,4190,,NULL,,58.2,,,,,,0.3093,145.8239,,30.72508,0.0565
Indonesia,2019,5.01816,12311.5,71.716,8.2,,,,,37.75500922,3.03058665,NULL,11940,-0.56,0.3921567,,23.9,,,,,,0.55985,47.66339,,38.95207,0.0362
Indonesia,2018,5.174292,11644.76,71.509,8,,,,,38.80544967,3.198346416,0.22634,11300,-1.07,0.4005402,,24.8,,,,,,0.55325,49.13364,,39.72974,0.044
Indonesia,2017,5.069786,10935.63,71.282,8,,,,,38.73234956,3.80879807,0.2381,10590,1,0.4068613,,25.7,,,,,,0.54659,32.074,,39.37915,0.0388
Indonesia,2016,5.033069,10494.47,71.035,7.9,,,,,39.40242469,3.525805157,0.24535,10160,0.76,0.4103152,,26.7,,,,,,0.53989,30.972,,39.30844,0.043
