,Countries,Years,GDP_Growth,Market_Size,Life_Exp,Mean_Years_of_Schooling,Internet_Penetration,Gov_Indicator,Trade_Openness,Labour_Force,Domestic_credit_to_private_sector,inflation,GNI,BoT,Child_Mortality,HDI,Pol_Stability,CPI,Urban_pop,Renew_Energy,CO2_emissions,ind_val_add,unemployment_rate
0,Australia,2019,2.160956,1.370287001,1.423510138,1.489048597,,1.468123726,-0.425862381,0.321859596,0.935875307,-0.724271598,1.401841721,0.207443725,-0.909408196,1.54312449,1.089710521,1.351208912,1.24001996,-0.244574888,-0.251598518,-0.729979538,0.991597335
1,Australia,2018,2.949286,1.284190104,1.397221869,1.489048597,,1.450416323,-0.477068711,0.28342095,1.005923743,-0.629394906,1.31389369,-0.041947719,-0.904796124,1.53555694,1.160103983,1.351208912,1.235580955,-0.272436001,-0.249520026,-0.903663623,1.077602391
2,Australia,2017,2.300611,1.206043846,1.35397365,1.489048597,1.367457188,1.444399891,-0.490851942,0.225762981,1.020498469,-0.617640306,1.243722388,-0.01735983,-0.904796124,1.520421838,1.075529446,1.351208912,1.231300486,-0.284291914,-0.24988053,-1.002738278,1.25575572
3,Australia,2016,2.770652,1.155599449,1.345069503,1.451332068,1.367289926,1.459966521,-0.534578216,0.19281557,1.060995663,-0.829608149,1.199748372,-0.353394311,-0.900184053,1.505286737,1.212863163,1.443127885,1.227178553,-0.292837572,-0.251591841,-1.169709118,1.329474339
4,Australia,2015,2.192647,1.109174076,1.336589528,1.413615538,1.301726709,1.518353874,-0.518163386,0.214780511,0.944935134,-0.756588343,1.158581209,-0.264409571,-0.895571982,1.497719186,1.065510861,1.443127885,1.223254789,-0.303272006,-0.255580557,-0.976738474,1.53834376
5,Australia,2014,2.533115,1.135303468,1.319205406,1.338182478,1.283161908,1.49294074,-0.494571837,0.174969056,0.796469748,-0.447450593,1.173083278,-0.136786719,-0.890959911,1.459881433,1.198608763,1.489087372,1.219331026,-0.295747685,-0.258711109,-0.711188416,1.556773414
6,Australia,2013,2.584898,1.092121479,1.292917137,1.300465948,1.265061135,1.432893893,-0.518804956,0.207916467,0.725673568,-0.45945375,1.131448305,-0.23865083,-0.88634784,1.444746331,1.19759705,1.535046859,1.215367628,-0.305281103,-0.257100648,-0.766102443,1.298758248
7,Australia,2012,3.918163,0.956362006,1.275108842,1.526765127,1.117555573,1.608243555,-0.484698422,0.239491069,0.6591712,-0.676298091,0.979878294,-0.115711386,-0.877123697,1.490151636,1.167692466,1.718884806,1.211404231,-0.323153114,-0.253496507,-0.601973624,1.028456645
8,Australia,2011,2.462756,0.918333584,1.248820573,1.489048597,1.133708815,1.660369892,-0.485691871,0.280675332,0.679151135,-0.189952317,0.921870018,0.02713254,-0.867899555,1.452313882,1.111377281,,1.207361566,-0.323279032,-0.254478657,-0.580400104,0.942451589
9,Australia,2010,2.067417,0.800728584,1.214052329,1.451332068,1.018191772,1.649267151,-0.522074545,0.276556906,0.739232825,-0.311615332,0.80445004,-0.20703783,-0.854063341,1.437178781,1.069018948,,1.202684757,-0.336019171,-0.25391885,-0.762776342,1.022313427
10,Bangladesh,2019,8.152685,-0.715524831,-0.368618995,-0.962525841,-1.071760172,-1.003043001,-0.622443041,-0.613023187,-0.784902015,0.532163003,-0.719670632,-0.80183057,0.345075166,-0.817951331,-0.578143734,-0.992724915,-0.69090763,-0.393300989,-0.381593267,-0.12434949,0.41413482
11,Bangladesh,2018,7.863743,-0.733504532,-0.415729965,-1.000242371,-1.118129946,-0.921067693,-0.63412663,-0.628124084,-0.753994394,0.516896352,-0.740254214,-1.098056089,0.414256234,-0.870924186,-0.634835035,-0.992724915,-0.721544692,-0.392948208,-0.38851397,-0.28216397,0.457137347
12,Bangladesh,2017,7.284174,-0.750579069,-0.462319412,-1.000242371,-1.157875466,-0.861227735,-0.628866342,-0.648716216,-0.741747111,0.566901145,-0.75943437,-0.698795608,0.488049372,-0.939032142,-0.870270954,-0.900805941,-0.752221388,-0.393136078,-0.390784677,-0.393756576,0.506283093
13,Bangladesh,2016,7.113478,-0.764341267,-0.508735018,-1.075675431,-1.19430886,-0.883363084,-0.592770227,-0.958971001,-0.785538214,0.50739847,-0.772065204,-0.6308862,0.571066654,-1.01470765,-0.875565497,-0.992724915,-0.782937718,-0.393292777,-0.392664564,-0.451218769,0.493996657
14,Bangladesh,2015,6.55264,-0.777295952,-0.555845988,-1.11339196,-1.224118,-0.840819381,-0.577402981,-0.953479766,-0.802123573,0.72223756,-0.785163847,-0.954041311,0.654083935,-1.097950707,-0.830432593,-1.038684402,-0.813654048,-0.394521726,-0.393936842,-0.524289361,0.512426312
15,Bangladesh,2014,6.061059,-0.785571018,-0.605043054,-1.339691139,-1.25392714,-0.909653743,-0.540425715,-0.946615722,-0.814875238,0.973875718,-0.794520021,-0.851006348,0.746325359,-1.219031519,-0.544318603,-1.038684402,-0.84429111,-0.394569102,-0.396822469,-0.598156345,0.51856953
16,Bangladesh,2013,6.013606,-0.7954804,-0.657369261,-1.22654155,-1.279430516,-0.909601144,-0.528162297,-0.941124487,-0.851777323,1.143905181,-0.803408386,-0.931795126,0.843178853,-1.219031519,-1.206403908,-0.946765428,-0.874928172,-0.39377245,-0.398588993,-0.598721342,0.543142403
17,Bangladesh,2012,6.521459,-0.804572514,-0.713693816,-1.11339196,-1.333418181,-0.877103821,-0.514209725,-0.932887634,-0.828854963,0.729566811,-0.813232368,-0.998533681,0.944644419,-1.249301722,-0.981485287,-0.992724915,-0.905406698,-0.39450917,-0.399047885,-0.740270151,0.315843328
18,Bangladesh,2011,6.464379,-0.818557648,-0.774538243,-1.15110849,-1.349978814,-1.085298835,-0.519567771,-0.924650781,-0.83893749,2.363583124,-0.83007348,-0.8521772,1.050722057,-1.317409678,-1.004674228,,-0.93584559,-0.394054446,-0.400788271,-0.777841039,0.100830689
19,Bangladesh,2010,5.571788,-0.826581745,-0.8397287,-1.301974609,-1.376475828,-1.059095842,-0.606764853,-0.91504112,-0.867619435,1.332081829,-0.838961845,-0.77021757,1.170635907,-1.385517634,-1.023707821,,-0.966086313,-0.394454824,-0.401867776,-0.790449844,-0.101895513
