country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,19,16,16,15,15,11,12,8,8,NULL,NULL
Albania,36,35,36,38,39,36,33,31,33,NULL,NULL
Algeria,36,35,35,33,34,36,36,36,34,NULL,NULL
Angola,27,26,19,19,18,15,19,23,22,NULL,NULL
Argentina,42,45,40,39,36,32,34,34,35,NULL,NULL
Armenia,49,42,35,35,33,35,37,36,34,NULL,NULL
Australia,77,77,77,77,79,79,80,81,85,NULL,NULL
Austria,76,77,76,75,75,76,72,69,69,NULL,NULL
Azerbaijan,30,30,25,31,30,29,29,28,27,NULL,NULL
Bahamas,63,64,65,65,66,,71,71,71,NULL,NULL
Bahrain,42,42,36,36,43,51,49,48,51,NULL,NULL
Bangladesh,26,26,26,28,26,25,25,27,26,NULL,NULL
Barbados,64,62,68,68,61,,74,75,76,NULL,NULL
Belarus,47,45,44,44,40,32,31,29,31,NULL,NULL
Belgium,76,75,75,75,77,77,76,75,75,NULL,NULL
Benin,41,41,40,39,36,37,39,36,36,NULL,NULL
Bhutan,68,68,68,67,65,65,65,63,63,NULL,NULL
Bolivia,31,31,29,33,33,34,35,34,34,NULL,NULL
Bosnia and Herzegovina,35,36,38,38,39,38,39,42,42,NULL,NULL
Botswana,60,61,61,61,60,63,63,64,65,NULL,NULL
Brazil,38,35,35,37,40,38,43,42,43,NULL,NULL
Brunei,60,60,63,62,58,,,60,55,NULL,NULL
Bulgaria,44,43,42,43,41,41,43,41,41,NULL,NULL
Burkina Faso,40,40,41,42,42,38,38,38,38,NULL,NULL
Burundi,19,19,17,22,20,21,20,21,19,NULL,NULL
Cabo Verde,58,58,57,55,59,55,57,58,60,NULL,NULL
Cambodia,21,20,20,21,21,21,21,20,22,NULL,NULL
Cameroon,25,25,25,25,26,27,27,25,26,NULL,NULL
Canada,77,77,81,82,82,83,81,81,84,NULL,NULL
Central African Republic,26,25,26,23,20,24,24,25,26,NULL,NULL
Chad,21,20,19,20,20,22,22,19,19,NULL,NULL
Chile,67,67,67,67,66,70,73,71,72,NULL,NULL
China,42,41,39,41,40,37,36,40,39,NULL,NULL
Colombia,39,37,36,37,37,37,37,36,36,NULL,NULL
Comoros,21,25,27,27,24,26,26,28,28,NULL,NULL
Congo,19,19,19,21,20,23,23,22,26,NULL,NULL
Costa Rica,57,56,56,59,58,55,54,53,54,NULL,NULL
Cote d'Ivoire,36,35,35,36,34,32,32,27,29,NULL,NULL
Croatia,47,47,48,49,49,51,48,48,46,NULL,NULL
Cuba,47,48,47,47,47,47,46,46,48,NULL,NULL
