Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39864193,14.98666062,17.13271922,17.51366368,15.54927184,15.82535158,15.91134711,15.28342446,16.79270315,17.59771873,18.50441035,19.57276498,18.98011109,18.03140008,16.175408,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,31.4580094,31.53159975,30.31636933,30.4091886,30.97776048,30.63260318,29.15788996,30.04356203,31.54412746,32.21960695,32.21231857,31.92958789,30.9379653,32.11104133,,,34.93277594,31.65901148,32.21352804,31.49842777,31.88303064,32.19712793,31.00273279,30.731318,30.40973188,29.31256065,27.9847376,26.92727078,25.89276393,25.01878499,28.81482639,30.16629586,28.77657911,27.98906128,29.51267857,30.36637144,29.87149048,29.22902729,28.11591232,28.21432074,29.175266,28.72384754,29.68942689,30.87039877,27.46699573,28.99048602,29.32228748,28.5109344,27.90539142,27.3436098,26.3751056,26.73432681,26.81938912,27.91594759,28.29527432,27.47236808
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.81012701,22.71086418,26.22678975,26.81209923,28.21076807,26.88224161,26.915628,21.89712221,21.1514207,22.74025248,21.15780715,20.44460531,21.22966322,22.12404249,10.46680769,10.051874,13.38724696,14.05811237,12.47089065
Africa Western and Central,AFW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,32.10014397,29.76031562,29.60923381,28.04351435,30.34466715,28.93613463,28.86771678,28.08609599,30.18098752,30.80307057,31.43785705,31.66902109,29.63929272,29.07460187,31.80591142,32.51432807,31.65077927,27.20888197,28.20261464,31.3669822,27.48036748,24.52151558,26.42656124,28.65021646,27.88082719,27.23759907,26.01466113,26.5713688,23.90537304,26.43428052,29.01042006,28.51775526,28.09675929,27.21218441,23.17424915,21.36500818,24.19512478,26.48491558,27.36251784,28.37896879
Angola,AGO,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28517579,67.82067594,60.75774139,55.1572893,72.71737231,72.12295494,64.88381154,56.07579654,53.11699639,54.62992131,60.40199346,58.10933117,61.88353785,60.25482013,44.05637617,52.36843489,56.02651474,56.91821975,53.36285398,46.20332557,41.93309265,42.64356678,42.16795355,47.93154163,49.98677207,44.76090324
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37366346,18.10957749,15.34689204,16.53644764,19.39564563,21.73566042,23.10639541,24.05558276,24.66552309,25.0817045,25.30818687,25.3402999,25.16102027,24.41365129,24.93746701,24.48440752,22.91851392,23.0613369,21.50885789,21.76366248,21.14194326,20.35836057,21.28403045,20.23596249,19.70499947
Andorra,AND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,58.37159473,56.94311153,54.73220512,52.19667668,,60.96157571,57.54949925,50.05548631,45.466808,44.37323725,41.54325428,37.20653829,38.70924415,37.57891903,39.37873104,45.48503641,40.74513133,42.93876747,41.39519098,39.96057914,41.27184635,42.37918905,43.28787992,39.04599072,42.34453808,47.7070916,45.6026556,45.95927238,47.29395638,48.63945388,51.89277341,52.83465217,51.72316826,54.63089172,46.1923719,49.38541634,54.21547728,53.84095056,51.97589043,50.03735266,41.57758137,39.59966722,41.59547011,44.6657705,43.32274807,36.6661379
United Arab Emirates,ARE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,73.99550701,71.81472265,67.98170619,68.05879988,71.35555238,72.66360633,68.36330707,63.15205198,61.40417868,62.81071431,61.25214684,52.15437335,54.68110115,53.01423765,55.07692921,58.90235057,46.77830149,55.29802322,51.47992165,46.26037509,45.54517392,46.36700237,45.4284115,40.02353246,42.02066257,48.51701163,49.67634129,47.54574758,49.12101292,51.67834808,55.6434763,57.90311172,54.84022859,58.01797844,52.044956,52.5308622,58.0355993,57.44913172,55.00612581,52.76460836,43.89381417,41.44869363,42.57462498,47.0329279,46.16036914,
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,48.41447642,49.60581466,47.38341438,47.03606529,47.3861283,42.27878963,45.95472845,45.58164895,43.35223993,43.59280262,50.14132368,50.89369683,47.80613219,46.09764801,44.0281238,41.21966567,40.33822671,41.10284864,41.55630651,39.70818793,39.27615457,37.38043489,37.82867527,38.48661108,42.34781307,36.02188135,32.72252826,30.6839549,27.33873965,26.75455869,26.30121034,26.59256064,27.17915089,26.71213576,26.1936305,25.99083601,25.24343398,30.55773709,32.6450991,28.81692201,28.62631404,29.20327967,27.41523613,26.27245994,25.2842048,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.78212322,23.05893032,23.40985342,22.46947671
Armenia,ARM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82709461,26.70904814,25.27053295,25.70869944,25.57713304,25.80953238,24.75655785,24.28740021,26.41384737
American Samoa,ASM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,11.53110189,10.37716942,11.58806231,13.06451254,13.31378154,10.41335824,10.22115171,10.91623254,11.72984946,12.9576021,13.80335868,14.23632716,15.25180155,13.90973504,14.56470425,13.48233758,12.70753026,12.52560542,12.69552051,12.24730724,12.51312804,12.65863364,13.5116061,13.89073144,12.88252441,13.04602902,13.27137402,13.05335304,14.51846488,18.45224574,17.74097533,19.12391632,19.46093611,16.20414704,14.53076878,14.28549382,15.68226063,16.18863876,16.45797948,17.93837237,19.22069665,21.11478965,21.57087781,21.66117896
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.86643886,27.7351412,26.94823256,26.90297859,26.85954139,26.51026049,26.05444665,25.29250429,25.43611003,24.69728658,24.63840014,23.68430757,23.63172569,24.06312425,23.94932169,24.61991975,25.60671598,25.65311943,25.59353375,26.99903583,25.15141664,26.43612763,26.28416401,25.12798549,25.51481674,23.64420556,22.28487265,23.46106467,24.15896698,25.38244874,25.68808495
Austria,AUT,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,33.99859457,33.60220589,33.84238279,32.91803891,32.9373058,32.54626138,31.7661309,31.29685218,30.11462257,30.44744465,30.25928456,29.75262207,29.51826472,29.28321943,29.5608633,29.50525741,29.01589795,28.30376891,28.41340016,28.85153199,28.75200887,28.67638394,28.51066285,28.42859216,28.28480203,28.20874614,27.38807848,27.49837986,27.37376782,27.0742426,27.25937083,27.57263882,26.96021414,25.79284583,25.53499425,25.44743204,25.63396853,25.52494179,25.3646396,25.17491325,25.47680498,25.40948444,25.48921223,25.52425292,25.43572106
Azerbaijan,AZE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04774898,29.60329341,36.53658638,32.14872611,27.65190819,30.99634455,35.1496743,36.99141943,34.95611231,39.1035999,42.53830991,43.46263827,46.1542268,48.53984468,50.76903238,58.78778199,64.95823153,66.16032863,65.51852147,56.26195525,59.99481926,61.73399639,59.51735085,57.05441545,53.58685467,44.89132034,47.55780701,49.7017251,52.25091145,48.82326653,41.38794624
Burundi,BDI,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,9.404353292,9.757409475,10.79396538,11.62590176,12.11938432,12.58268557,11.74228713,12.18203993,14.30673175,14.71543365,11.67073792,12.71593387,14.29487882,14.48121361,12.58092087,11.82187606,12.12884746,15.71135304,14.81469295,17.26291847,17.32687566,17.53485167,18.98600615,20.12341271,19.5729092,16.80067223,11.78259217,13.89043156,14.69128471,16.11961054,15.53957069,15.57319108,15.80400049,15.74171231,16.32301916,16.9330036,15.31529124,17.15619422,15.41520528,16.91952896,15.38615628,14.80968132,15.75103764,15.58468197,15.49821159,11.76494577,12.20736309,10.99312984,11.10721706,10.95613431,10.67899438
Belgium,BEL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.04581425,25.81088642,26.1098654,25.57068537,24.72584434,24.94383258,24.31215099,23.78733634,23.22665489,22.95999895,22.57377815,22.13992554,22.28195248,21.5954485,20.60002979,20.89458036,20.7778964,20.07524056,19.87919976,19.67482648,19.66988832,19.28822027,19.23536249,18.90259598,19.11141453,19.20647976
Benin,BEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,10.22697472,9.813301803,9.791309172,11.46941958,10.79343737,7.981849381,11.30661294,11.41306251,10.86881395,11.06306544,11.70374941,13.48080429,13.8881252,14.29612581,17.08422498,16.16432909,12.9100344,12.55698708,14.00536459,13.34334545,12.2816697,12.91040444,15.12241928,15.35697474,17.06945218,16.70242515,12.10784452,12.36556601,13.39467172,12.76801614,12.45338505,11.98263042,12.7276805,12.2171018,13.33806442,13.39231141,13.26694099,13.52070776,12.56647129,18.0457038,18.75634821,21.60630613,21.25606482,21.76533589,20.49942461,21.61359239,21.15701378,19.51117718,17.66062208,17.91950793,18.00905314,18.13744911,16.95668469,17.24370929,16.41157749,16.38509544,15.70206831,15.10758585,14.65369114,16.3125612,16.29054905
Burkina Faso,BFA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,19.91384304,19.89452606,19.36764525,20.62366736,20.081443,18.69633896,19.02156505,22.08831344,22.71909824,22.44425759,22.25057016,24.24406021,23.31425941,26.20049782,22.97752191,25.9407461,26.46717857,21.30309581,21.45052635,20.66000477,19.81093021,18.76585808,18.8445168,20.35731232,19.96613192,19.22957502,20.72948663,22.54788433,21.51240488,22.12623347,20.3691496,19.25548723,20.25967662,19.85311005,20.41120315,19.94488937,18.49221774,19.68278497,17.85593746,22.46463776,21.87075455,20.63892465,20.63381451,22.62507399,22.65917572,20.16583243,20.50385279,22.5483344,20.5479237,22.95588049,26.05555203,28.37227091,26.86751038,24.09575158,24.92953925,24.35081157,24.88151737,25.14023722,24.51413746,25.57966381,29.96344142
